breed,values
Labrador Retriever/Border Collie,76
Labrador Retriever/Australian Cattle Dog,75
Flat Coat Retriever Mix,74
Miniature Schnauzer/Miniature Poodle,74
Border Collie/Labrador Retriever,72
Black/Tan Hound Mix,72
Pekingese Mix,71
English Bulldog Mix,70
Squirrel Mix,70
Carolina Dog Mix,70
Redbone Hound Mix,66
Russian Blue Mix,65
Norfolk Terrier Mix,62
Siamese,60
Chihuahua Shorthair/Rat Terrier,60
Australian Cattle Dog/Labrador Retriever,60
Chihuahua Shorthair/Jack Russell Terrier,59
Miniature Poodle,55
Maltese/Miniature Poodle,55
Bichon Frise Mix,54
Pit Bull/Boxer,53
Whippet Mix,52
Miniature Schnauzer,52
Weimaraner Mix,51
Pembroke Welsh Corgi Mix,51
Harrier Mix,51
Alaskan Husky Mix,51
Great Pyrenees,51
Labrador Retriever/Boxer,50
Doberman Pinsch,50
Rat Terrier/Chihuahua Shorthair,50
Chihuahua Shorthair/Pug,50
Jack Russell Terrier,48
Fox Mix,48
Belgian Malinois Mix,48
Labrador Retriever/Great Pyrenees,47
Soft Coated Wheaten Terrier Mix,47
Guinea Pig,47
Boxer/Pit Bull,47
Cocker Spaniel,46
Border Collie,46
Standard Schnauzer Mix,46
Yorkshire Terrier,45
Domestic Longhair,45
Wire Hair Fox Terrier Mix,45
Parson Russell Terrier Mix,45
Labrador Retriever/Beagle,45
Norwich Terrier Mix,44
Pug,44
Shetland Sheepdog Mix,43
Basenji Mix,43
Australian Shepherd,43
Labrador Retriever/Chow Chow,42
West Highland Mix,41
Skunk,41
Rat Mix,41
German Shorthair Pointer Mix,41
Labrador Retriever/Pointer,41
Dalmatian Mix,40
Boxer/Labrador Retriever,39
Maltese,39
Basset Hound,39
Akita Mix,39
Bulldog Mix,39
English Bulldog,37
Jack Russell Terrier/Chihuahua Shorthair,37
Bruss Griffon Mix,37
Pharaoh Hound Mix,37
Pug/Chihuahua Shorthair,36
Vizsla Mix,36
Shiba Inu Mix,36
Squirrel,36
Rat Terrier,35
Boston Terrier,35
Pointer/Labrador Retriever,33
Himalayan Mix,32
Siberian Husky/German Shepherd,32
Papillon Mix,32
Labrador Retriever/Australian Shepherd,32
Rabbit Sh,32
Labrador Retriever/Rottweiler,31
Miniature Poodle/Miniature Schnauzer,31
Chihuahua Shorthair/Cardigan Welsh Corgi,30
Smooth Fox Terrier Mix,30
Pug/Beagle,29
Havanese Mix,29
Hamster Mix,29
Miniature Pinscher,29
Collie Rough Mix,29
Labrador Retriever/Plott Hound,29
Great Pyrenees/Labrador Retriever,29
Golden Retriever,28
Catahoula,28
Pit Bull/Catahoula,28
German Shepherd/Chow Chow,27
Pit Bull/Australian Cattle Dog,27
Labrador Retriever/Catahoula,27
Pekingese,26
Bernese Mountain Dog Mix,26
Greyhound Mix,26
Dogo Argentino Mix,26
Catahoula/Labrador Retriever,25
Toy Fox Terrier Mix,25
Tibetan Spaniel Mix,25
American Staffordshire Terrier,25
Dutch Shepherd Mix,25
Pomeranian,25
Border Collie/German Shepherd,25
Beauceron Mix,25
English Pointer Mix,24
Australian Shepherd/Labrador Retriever,24
Miniature Pinscher/Chihuahua Shorthair,24
Cairn Terrier/Chihuahua Shorthair,24
Pbgv Mix,23
Great Dane,23
Yorkshire Terrier/Miniature Poodle,23
Dachshund/Beagle,23
Bloodhound Mix,23
Labrador Retriever/Golden Retriever,23
Cairn Terrier,23
Brittany Mix,23
Yorkshire Terrier/Chihuahua Shorthair,23
Anatol Shepherd/Labrador Retriever,22
Rottweiler/Labrador Retriever,22
Cavalier Span Mix,22
Californian Mix,22
Labrador Retriever/Chinese Sharpei,22
Ragdoll Mix,22
German Shepherd/Rottweiler,22
Labrador Retriever/Doberman Pinsch,22
German Shepherd/Siberian Husky,22
Italian Greyhound Mix,22
American Bulldog,22
Plott Hound/Labrador Retriever,22
Beagle/Chihuahua Shorthair,22
Chicken,22
Australian Cattle Dog/German Shepherd,21
Chihuahua Shorthair/Yorkshire Terrier,21
Labrador Retriever/Anatol Shepherd,21
Chihuahua Shorthair/Beagle,21
Anatol Shepherd,21
Scottish Terrier Mix,21
German Shepherd/Australian Cattle Dog,20
Lhasa Apso,20
American Eskimo Mix,20
Labrador Retriever/Basset Hound,20
Beagle/Labrador Retriever,20
Cardigan Welsh Corgi/Chihuahua Shorthair,20
Border Collie/Great Pyrenees,20
Standard Poodle Mix,20
Persian Mix,20
Bullmastiff Mix,20
Chihuahua Shorthair/Miniature Pinscher,19
Alaskan Malamute Mix,19
Finnish Spitz Mix,19
Treeing Walker Coonhound Mix,19
American Bulldog/Pit Bull,19
Beagle/German Shepherd,19
Miniature Poodle/Maltese,18
St. Bernard Smooth Coat Mix,18
Chesa Bay Retr Mix,18
American Foxhound Mix,18
Bluetick Hound Mix,18
Labrador Retriever/Siberian Husky,18
Turtle Mix,18
Chinese Sharpei/Labrador Retriever,18
Lhasa Apso/Miniature Poodle,18
Pit Bull/Chinese Sharpei,18
Australian Cattle Dog/Pit Bull,18
Beagle/Dachshund,18
Dogue De Bordeaux Mix,18
Ferret Mix,18
Parakeet Mix,17
Tibetan Terrier Mix,17
Schnauzer Giant Mix,17
Rex Mix,17
Golden Retriever/Labrador Retriever,17
English Coonhound Mix,17
Chihuahua Shorthair/Cairn Terrier,17
Pit Bull/Pointer,17
Fox,17
Dachshund Longhair,17
Chihuahua Shorthair/Boston Terrier,17
Yorkshire Terrier/Miniature Schnauzer,16
Bull Terrier,16
Chinese Sharpei,16
Chihuahua Longhair,16
Australian Cattle Dog/Border Collie,16
Australian Kelpie,16
Basset Hound/Labrador Retriever,16
French Bulldog Mix,16
Feist Mix,16
Cocker Spaniel/Miniature Poodle,16
Great Pyrenees/Border Collie,16
Rottweiler/German Shepherd,15
Dove Mix,15
Chow Chow/German Shepherd,15
Duck Mix,15
Lionhead Mix,15
Labrador Retriever/Blue Lacy,15
Staffordshire,15
German Shepherd/Boxer,15
St. Bernard Rough Coat Mix,15
Labrador Retriever/Dachshund,15
Airedale Terrier Mix,15
Siberian Husky/Labrador Retriever,15
Rat,15
Australian Terrier Mix,15
Toy Poodle,14
Dachshund/Rat Terrier,14
Great Dane/Labrador Retriever,14
Catahoula/Plott Hound,14
Rhod Ridgeback/Labrador Retriever,14
Schipperke Mix,14
Australian Shepherd/Border Collie,14
Anatol Shepherd/Great Pyrenees,14
Dachshund/Labrador Retriever,13
Pigeon Mix,13
Snake Mix,13
Australian Cattle Dog/Boxer,13
Chow Chow/Labrador Retriever,13
Boston Terrier/Chihuahua Shorthair,13
Rabbit Lh Mix,13
West Highland,13
Chow Chow,13
Greyhound,13
Ferret,13
Irish Terrier Mix,13
Leonberger Mix,13
Silky Terrier Mix,13
Jack Russell Terrier/Australian Cattle Dog,13
Duck,13
Siamese/Domestic Shorthair,13
Jack Russell Terrier/Dachshund,12
Border Collie/Australian Cattle Dog,12
Bengal Mix,12
German Shepherd/Pit Bull,12
Swedish Vallhund Mix,12
Black Mouth Cur,12
Labrador Retriever/Whippet,12
Siberian Husky/Australian Cattle Dog,12
Golden Retriever/Chow Chow,12
Pit Bull/Chihuahua Shorthair,12
Cairn Terrier/Yorkshire Terrier,12
Chihuahua Shorthair/Italian Greyhound,12
Dachshund Wirehair/Chihuahua Shorthair,12
Treeing Cur Mix,12
English Springer Spaniel Mix,12
Pointer/Pit Bull,12
Angora Mix,12
Labrador Retriever/Australian Kelpie,12
St. Bernard Rough Coat/Boxer,11
Dachshund Wirehair/Miniature Poodle,11
Black/Tan Hound,11
Chinese Crested Mix,11
Landseer Mix,11
Pointer,11
American Curl Shorthair Mix,11
Labrador Retriever/Jack Russell Terrier,11
Patterdale Terr Mix,11
Pit Bull/German Shepherd,11
Australian Cattle Dog/Beagle,11
Shih Tzu/Miniature Poodle,11
Beagle/Pug,11
Catahoula/Pit Bull,11
Hamster,11
Lop-English Mix,11
Cocker Spaniel/Labrador Retriever,11
Miniature Schnauzer/Yorkshire Terrier,11
German Shepherd/Border Collie,11
Manchester Terrier/Chihuahua Shorthair,11
Border Terrier/Chihuahua Shorthair,11
English Spot Mix,10
Labrador Retriever/Great Dane,10
Japanese Bobtail Mix,10
Jack Russell Terrier/Beagle,10
Maine Coon,10
Queensland Heeler,10
Field Spaniel Mix,10
Labrador Retriever/Queensland Heeler,10
Pointer/Border Collie,10
Collie Smooth/Labrador Retriever,10
Cane Corso Mix,10
Maltese/Yorkshire Terrier,10
Pomeranian/Chihuahua Longhair,10
Yorkshire Terrier/Cairn Terrier,10
Glen Of Imaal Mix,10
Cavalier Span,10
Great Pyrenees/Anatol Shepherd,10
French Bulldog,10
Lizard Mix,10
Chihuahua Shorthair/Pomeranian,10
German Shepherd/Alaskan Husky,10
Bearded Collie Mix,10
Labrador Retriever/Greyhound,10
Pembroke Welsh Corgi,10
Weimaraner,10
Blue Lacy,10
Boxer/Staffordshire,10
Standard Poodle/Labrador Retriever,10
German Shepherd/Black Mouth Cur,10
Vizsla,10
Balinese Mix,10
Bichon Frise,10
Miniature Poodle/Cocker Spaniel,10
English Foxhound Mix,10
Dachshund/Manchester Terrier,10
Great Pyrenees/American Bulldog,9
Persian,9
Maltese/Toy Poodle,9
German Shepherd/Australian Shepherd,9
Californian,9
Samoyed Mix,9
Catahoula/Australian Cattle Dog,9
Welsh Terrier Mix,9
Keeshond Mix,9
Labrador Retriever/Rhod Ridgeback,9
Miniature Poodle/Lhasa Apso,9
Boerboel Mix,9
Australian Cattle Dog/Pointer,9
Beagle/Basset Hound,9
Plott Hound,9
Australian Cattle Dog/Akita,9
German Shepherd/Mastiff,9
Jack Russell Terrier/Rat Terrier,9
Cardigan Welsh Corgi/Australian Cattle Dog,9
Labrador Retriever/Standard Poodle,9
Wirehaired Pointing Griffon Mix,9
Chihuahua Longhair/Pomeranian,9
American Eskimo,9
Chihuahua Shorthair/Dachshund Wirehair,8
Chow Chow/Australian Cattle Dog,8
Coyote Mix,8
Labrador Retriever/Mastiff,8
English Shepherd Mix,8
Affenpinscher Mix,8
Cockatiel Mix,8
Yorkshire Terrier/Chihuahua Longhair,8
Newfoundland Mix,8
Bantam Mix,8
Grackle Mix,8
Snowshoe,8
Canaan Dog Mix,8
Cardigan Welsh Corgi,8
Shetland Sheepdog,8
Pbgv,8
American Pit Bull Terrier,8
Labrador Retriever/Collie Smooth,8
Tonkinese Mix,8
Rhod Ridgeback,8
Carolina Dog,8
Chihuahua Shorthair/Manchester Terrier,8
Border Terrier/Yorkshire Terrier,8
Dachshund/Pit Bull,8
Miniature Poodle/Dachshund,8
Boxer/Catahoula,8
Dachshund Wirehair/Border Terrier,8
Australian Cattle Dog/Australian Shepherd,8
Shiba Inu,7
Pit Bull/Bulldog,7
Chihuahua Shorthair/Pit Bull,7
Jindo Mix,7
Old English Bulldog Mix,7
Pointer/Australian Cattle Dog,7
Miniature Poodle/Bichon Frise,7
Otterhound Mix,7
Pug/Labrador Retriever,7
Boxer/Australian Cattle Dog,7
German Shepherd/Doberman Pinsch,7
Boxer/Beagle,7
Irish Wolfhound Mix,7
Pharaoh Hound,7
Tortoise Mix,7
Bloodhound,7
Catahoula/Pointer,7
Picardy Sheepdog Mix,7
Alaskan Husky,7
Australian Shepherd/Anatol Shepherd,7
Pit Bull/Basset Hound,7
American Staffordshire Terrier/Labrador Retriever,7
Yorkshire Terrier/Rat Terrier,7
Harrier,7
Australian Kelpie/Pit Bull,7
Blue Lacy/Pit Bull,7
Labrador Retriever/Flat Coat Retriever,7
Bombay Mix,7
Akita,7
Dalmatian/Labrador Retriever,7
German Shorthair Pointer,7
Podengo Pequeno Mix,7
Australian Cattle Dog/Staffordshire,7
Manchester Terrier/Dachshund,7
Presa Canario Mix,7
Chow Chow/Pit Bull,7
Cane Corso,7
Havana Mix,7
Lionhead,7
Lop-Holland Mix,7
Yorkshire Terrier/Maltese,7
Labrador Retriever/Labrador Retriever,7
Mastiff/Chinese Sharpei,7
Beagle/Australian Cattle Dog,7
Catahoula/Chinese Sharpei,7
Chihuahua Shorthair/Border Terrier,7
Mastiff,7
Bull Terrier Miniature Mix,7
Miniature Poodle/Cairn Terrier,6
Beagle/Jack Russell Terrier,6
Skye Terrier Mix,6
Parakeet,6
Chihuahua Shorthair/Pembroke Welsh Corgi,6
Blue Lacy/American Bulldog,6
Labrador Retriever/Vizsla,6
Tarantula,6
German Shepherd/Golden Retriever,6
Great Pyrenees/Golden Retriever,6
Brittany,6
British Shorthair Mix,6
Miniature Poodle/Yorkshire Terrier,6
Gerbil Mix,6
Kuvasz Mix,6
Rat Terrier/Beagle,6
Chihuahua Shorthair/Miniature Schnauzer,6
Australian Cattle Dog/Jack Russell Terrier,6
Labrador Retriever/Black/Tan Hound,6
English Springer Spaniel,6
Chihuahua Shorthair/Whippet,6
Harrier/Catahoula,6
Mexican Hairless Mix,6
Pigeon,6
Chihuahua Longhair/Dachshund,6
Labrador Retriever/Dalmatian,6
Pit Bull/Dachshund,6
German Shepherd/Collie Rough,6
Standard Schnauzer,6
Cymric Mix,6
Siberian Husky/Border Collie,6
Weimaraner/Labrador Retriever,6
Manchester Terrier/Beagle,6
Border Collie/Bull Terrier,6
German Shepherd/Catahoula,6
Labrador Retriever/American Bulldog,6
Pointer/Catahoula,6
Chihuahua Longhair/Cairn Terrier,6
Snake,6
Chihuahua Shorthair/Swedish Vallhund,6
Armadillo Mix,6
Dachshund Longhair/Chihuahua Shorthair,6
Black Mouth Cur/Pit Bull,6
Labrador Retriever/Miniature Poodle,6
Flat Coat Retriever/Papillon,6
Parson Russell Terrier,6
Basset Hound/Australian Cattle Dog,6
Lhasa Apso/Shih Tzu,6
Himalayan,6
Pit Bull/Weimaraner,6
Standard Poodle,6
Neapolitan Mastiff Mix,6
Yorkshire Terrier/Border Terrier,6
Border Collie/Australian Shepherd,6
German Wirehaired Pointer Mix,6
Cairn Terrier/Miniature Schnauzer,6
Border Collie/Chow Chow,6
German Shepherd/Alaskan Malamute,6
New Zealand Wht Mix,6
Basset Hound/Beagle,6
Australian Shepherd/Australian Cattle Dog,6
German Shepherd/Cardigan Welsh Corgi,6
Labrador Retriever/German Shorthair Pointer,5
Dachshund/Jack Russell Terrier,5
German Shepherd/Chinese Sharpei,5
Pig Mix,5
Collie Rough/German Shepherd,5
Chihuahua Shorthair/Australian Cattle Dog,5
Border Collie/Boxer,5
Cold Water,5
Jack Russell Terrier/Miniature Poodle,5
Shih Tzu/Miniature Schnauzer,5
Boykin Span Mix,5
Rhod Ridgeback/Pit Bull,5
Queensland Heeler/Pit Bull,5
Pit Bull/Plott Hound,5
Greater Swiss Mountain Dog Mix,5
Belgian Malinois,5
Australian Shepherd/Plott Hound,5
American Bulldog/Labrador Retriever,5
Old English Bulldog,5
Australian Cattle Dog/Catahoula,5
German Shepherd/Pembroke Welsh Corgi,5
Jack Russell Terrier/Pit Bull,5
Pointer/Boxer,5
Beagle/Rat Terrier,5
Boxer/Chinese Sharpei,5
Cardigan Welsh Corgi/Beagle,5
German Pinscher Mix,5
Coyote,5
Labrador Retriever/Black Mouth Cur,5
Norfolk Terrier/Yorkshire Terrier,5
Bedlington Terr Mix,5
Collie Smooth/Boxer,5
Collie Smooth,5
Beagle/Vizsla,5
Basenji/Chihuahua Shorthair,5
Saluki,5
Jack Russell Terrier/Labrador Retriever,5
Chihuahua Longhair/Maltese,5
Wire Hair Fox Terrier/Chihuahua Shorthair,5
Dachshund/Australian Cattle Dog,5
Rat Terrier/Boston Terrier,5
Dalmatian,5
Turkish Angora Mix,5
Collie Rough/Anatol Shepherd,5
Dachshund Wirehair,5
Bullmastiff,5
Saluki Mix,5
Golden Retriever/Great Pyrenees,5
Pomeranian/Chihuahua Shorthair,5
Dutch Shepherd,5
Australian Cattle Dog/Chow Chow,5
Pit Bull/Dalmatian,5
Carolina Dog/Chihuahua Shorthair,5
German Shepherd/Great Pyrenees,5
Miniature Schnauzer/Chihuahua Shorthair,5
Vizsla/Labrador Retriever,5
Great Pyrenees/Australian Cattle Dog,5
Bernese Mountain Dog,5
Turkey Mix,5
Rat Terrier/Dachshund,5
Pit Bull/Boston Terrier,5
Irish Setter/Pit Bull,5
Australian Shepherd/Chihuahua Shorthair,5
Australian Kelpie/Blue Lacy,5
Alaskan Malamute,5
Anatol Shepherd/Border Collie,5
Staffordshire/Labrador Retriever,5
Pit Bull/Beagle,5
Border Terrier,5
Beagle/Boxer,5
Redbone Hound/Labrador Retriever,5
Pit Bull/Blue Lacy,5
Catahoula/German Shepherd,5
Labrador Retriever/Weimaraner,5
Basset Hound/Chinese Sharpei,5
Japanese Chin Mix,5
Catahoula/Great Dane,4
Mastiff/Rottweiler,4
Owl Mix,4
Cairn Terrier/Dachshund,4
Domestic Longhair/Persian,4
English Setter Mix,4
Cardigan Welsh Corgi/Pointer,4
Coton De Tulear Mix,4
Hawk,4
Chinchilla Mix,4
Grackle,4
Anatol Shepherd/German Shepherd,4
Pointer/American Pit Bull Terrier,4
Shiba Inu/Australian Kelpie,4
Dachshund/Pug,4
Rat Terrier/Cardigan Welsh Corgi,4
Boxer/American Bulldog,4
Nova Scotia Duck Tolling Retriever Mix,4
Australian Cattle Dog/Pembroke Welsh Corgi,4
Rottweiler/Australian Cattle Dog,4
Pit Bull/Mastiff,4
Silky Terrier/Yorkshire Terrier,4
Australian Shepherd/Cardigan Welsh Corgi,4
Dachshund Wirehair/Toy Poodle,4
Staffordshire/Boxer,4
Redbone Hound,4
Border Collie/Akita,4
Plott Hound/Pit Bull,4
American Pit Bull Terrier/Labrador Retriever,4
Pit Bull/Chow Chow,4
Norwegian Forest Cat Mix,4
Cardigan Welsh Corgi/German Shepherd,4
Wire Hair Fox Terrier/Beagle,4
Akita/Siberian Husky,4
Manx/Domestic Shorthair,4
Cairn Terrier/Chihuahua Longhair,4
Devon Rex Mix,4
Russian Blue,4
Basset Hound/Pit Bull,4
Black Mouth Cur/Boxer,4
Border Collie/Pit Bull,4
Shih Tzu/Toy Poodle,4
Bichon Frise/Miniature Poodle,4
Finnish Spitz,4
Sparrow Mix,4
Miniature Poodle/Chihuahua Shorthair,4
Netherlnd Dwarf Mix,4
Abyssinian Mix,4
Chihuahua Longhair/Cardigan Welsh Corgi,4
Black Mouth Cur/German Shepherd,4
Dachshund/Shih Tzu,4
Jack Russell Terrier/Cairn Terrier,4
Quaker Mix,4
Miniature Pinscher/Pug,4
Norwich Terrier/Yorkshire Terrier,4
Bruss Griffon/Pug,4
Norfolk Terrier/Chihuahua Shorthair,4
Ibizan Hound Mix,4
Australian Cattle Dog/Cardigan Welsh Corgi,4
German Shepherd/Anatol Shepherd,4
Bluetick Hound,4
Havanese,4
Chihuahua Shorthair/Wire Hair Fox Terrier,4
Siberian Husky/Pit Bull,4
Miniature Schnauzer/Cairn Terrier,4
Doberman Pinsch/German Shepherd,4
Hotot Mix,4
Dutch Mix,4
Jack Russell Terrier/Shih Tzu,4
Great Pyrenees/German Shepherd,4
Rottweiler/Chow Chow,4
Bulldog/Boston Terrier,4
Papillon,4
Plott Hound/Boxer,4
Shih Tzu/Maltese,4
Labrador Retriever/Staffordshire,4
Pembroke Welsh Corgi/Chihuahua Shorthair,4
Rottweiler/Pit Bull,4
Miniature Schnauzer/Toy Poodle,4
Anatol Shepherd/Redbone Hound,4
American Bulldog/Boxer,4
Carolina Dog/Pit Bull,4
English Cocker Spaniel Mix,4
Labrador Retriever/Standard Schnauzer,4
Border Collie/Dachshund,4
Whippet/Labrador Retriever,4
Australian Kelpie/Labrador Retriever,4
Boxer/Great Dane,4
Doberman Pinsch/Labrador Retriever,4
Chihuahua Shorthair/Miniature Poodle,4
Soft Coated Wheaten Terrier,4
Akbash Mix,4
Catahoula/Cardigan Welsh Corgi,4
Black Mouth Cur/Catahoula,4
Bulldog,4
Shih Tzu/Dachshund,4
Boston Terrier/Pug,4
Golden Retriever/Standard Poodle,4
Chow Chow/Golden Retriever,4
Pixiebob Shorthair Mix,4
Parrot Mix,4
Australian Shepherd/Cocker Spaniel,4
Mastiff/Boxer,4
Weimaraner/Pit Bull,4
Basenji/Australian Cattle Dog,4
Australian Shepherd/Chow Chow,4
Labrador Retriever/Chesa Bay Retr,4
Miniature Poodle/Shih Tzu,4
Great Pyrenees/Standard Poodle,4
Australian Cattle Dog/Plott Hound,4
Shih Tzu/Havanese,3
Chihuahua Shorthair/Mexican Hairless,3
Australian Cattle Dog/Chinese Sharpei,3
Jack Russell Terrier/Yorkshire Terrier,3
Australian Cattle Dog/Dachshund,3
French Bulldog/Chihuahua Shorthair,3
Great Dane/Pit Bull,3
Flat Coat Retriever/German Shepherd,3
Cairn Terrier/Miniature Poodle,3
Dachshund/Bloodhound,3
Whippet/Dachshund,3
Miniature Poodle/Australian Cattle Dog,3
English Spot,3
Cottontail Mix,3
Feist/Beagle,3
Heron Mix,3
Schipperke/Chihuahua Shorthair,3
Domestic Medium Hair/Siamese,3
Chihuahua Shorthair/German Shepherd,3
Chihuahua Longhair/Yorkshire Terrier,3
Greyhound/Labrador Retriever,3
Nova Scotia Duck Tolling Retriever,3
Dachshund/Catahoula,3
Rhode Island Mix,3
Newfoundland/Labrador Retriever,3
American Staffordshire Terrier/Pit Bull,3
Ragdoll,3
Cockatoo,3
American Bulldog/Mastiff,3
Standard Schnauzer/Standard Poodle,3
Labrador Retriever/Redbone Hound,3
Doberman Pinsch/Pit Bull,3
Anatol Shepherd/Catahoula,3
Flat Coat Retriever/Pit Bull,3
Cocker Spaniel/Pembroke Welsh Corgi,3
Chihuahua Shorthair/Basenji,3
Chinese Sharpei/Pit Bull,3
Miniature Schnauzer/Dachshund Wirehair,3
Pointer/Collie Smooth,3
Dalmatian/Pit Bull,3
Shih Tzu/Chihuahua Shorthair,3
Welsh Springer Spaniel Mix,3
Border Collie/Whippet,3
Chihuahua Shorthair/Smooth Fox Terrier,3
Dachshund/Miniature Pinscher,3
Blue Lacy/Australian Kelpie,3
Australian Cattle Dog/German Shorthair Pointer,3
Norfolk Terrier,3
Boxer/Black Mouth Cur,3
Akita/Australian Cattle Dog,3
Golden Retriever/Collie Rough,3
American Bulldog/Basset Hound,3
Pekingese/Shih Tzu,3
German Shepherd/Plott Hound,3
Black/Tan Hound/Labrador Retriever,3
Australian Shepherd/Boxer,3
Boxer/American Staffordshire Terrier,3
Redbone Hound/Rhod Ridgeback,3
Boxer/Anatol Shepherd,3
Standard Schnauzer/Miniature Poodle,3
Brittany/Labrador Retriever,3
Chihuahua Shorthair/Basset Hound,3
Rhod Ridgeback/German Shepherd,3
Bruss Griffon/Chihuahua Shorthair,3
Chihuahua Shorthair/Schipperke,3
Lizard,3
Golden Retriever/Border Collie,3
German Wirehaired Pointer,3
Siberian Husky/Alaskan Malamute,3
Bluebird Mix,3
Wire Hair Fox Terrier/Dachshund,3
Shih Tzu/Pit Bull,3
German Shepherd/Collie Smooth,3
Exotic Shorthair Mix,3
Sphynx,3
Jack Russell Terrier/Pembroke Welsh Corgi,3
Beagle/Parson Russell Terrier,3
Catahoula/Boxer,3
Cardigan Welsh Corgi/Cocker Spaniel,3
Peafowl,3
Miniature Pinscher/Dachshund,3
Dutch Shepherd/Labrador Retriever,3
Dachshund/Miniature Poodle,3
Great Pyrenees/Pit Bull,3
Alaskan Husky/German Shepherd,3
Armadillo,3
Carolina Dog/Australian Cattle Dog,3
Beagle/Pointer,3
German Shepherd/Australian Kelpie,3
Dachshund/Cardigan Welsh Corgi,3
Catahoula/English Coonhound,3
Chinese Sharpei/Border Collie,3
Border Terrier/Dachshund,3
Cornish Rex Mix,3
Rottweiler/Siberian Husky,3
Australian Cattle Dog/Great Pyrenees,3
Catahoula/Beagle,3
Lop-Mini,3
Parson Russell Terrier/Chihuahua Shorthair,3
Labrador Retriever/American Pit Bull Terrier,3
Pit Bull/Rottweiler,3
Cocker Spaniel/Chihuahua Shorthair,3
Basset Hound/Pointer,3
Great Pyrenees/Rottweiler,3
Australian Kelpie/Beagle,3
Toy Poodle/Miniature Schnauzer,3
Parson Russell Terrier/Beagle,3
Australian Shepherd/Catahoula,3
Siamese/Japanese Bobtail,3
Border Collie/Catahoula,3
Jack Russell Terrier/Pug,3
Treeing Walker Coonhound/German Shepherd,3
Great Pyrenees/Catahoula,3
Alaskan Husky/Australian Shepherd,3
Alaskan Malamute/Border Collie,3
Dachshund Longhair/Cardigan Welsh Corgi,3
Chihuahua Longhair/Jack Russell Terrier,3
Miniature Poodle/Labrador Retriever,3
Shih Tzu/Cocker Spaniel,3
Collie Smooth/German Shepherd,3
Pit Bull/Black Mouth Cur,3
Chow Chow/Basset Hound,3
Great Dane/Mastiff,3
Pit Bull/Alaskan Husky,3
Australian Kelpie/Whippet,3
Dachshund Wirehair/Miniature Schnauzer,3
St. Bernard Rough Coat,3
Border Collie/Pointer,3
Manchester Terrier/Jack Russell Terrier,3
Great Dane/Boxer,3
Boxer/English Bulldog,3
Rat Terrier/Miniature Poodle,3
Dove,3
Oriental Sh Mix,3
Queensland Heeler/Chihuahua Shorthair,3
Great Pyrenees/Australian Shepherd,3
Chihuahua Longhair/Pekingese,3
Mockingbird Mix,3
Presa Canario,3
Dachshund/Chihuahua Longhair,3
Border Collie/Parson Russell Terrier,3
Lop-Mini Mix,3
Australian Cattle Dog/Bull Terrier,3
American Staffordshire Terrier/American Bulldog,3
Boston Terrier/Dachshund,3
Anatol Shepherd/Mastiff,3
American Mix,3
